title,body,date
Good experience !,"I had just one night there, the service was excellent, the breakfast was nice and the people of the hotel were very kind helped me with all my questions about the city.  I recommend this hotel!","Date of experience: December 06, 2017"
I feel I was mislead on a booking fee …,I feel I was mislead on a booking fee or some surcharge. when I looked at website I am certain the cost was much less than I was charged in the end.Poor transparency,"Date of experience: December 05, 2017"
Staff pleasant and curteous,Staff pleasant and curteous. Food was good. The place looked a little tired in places and could do with a bit of an overhaul.,"Date of experience: December 05, 2017"
far a way bad swimmingpool,"far a way bad swimmingpool, no wireless,","Date of experience: December 05, 2017"
A most comfortable and conveniently …,A most comfortable and conveniently located hotel in the centre of Warsaw.,"Date of experience: December 05, 2017"
I did not recieve a confirmation email …,"I did not recieve a confirmation email and it took over 1 hour for the hotel to recieve the booking confirmation.  As I was adding an extra night to my stay, this was a little nerve wracking to wait. The confirmation came through eventually,  so all good in the end.","Date of experience: December 05, 2017"
Excellent hotel at perfect location.,No body text,"Date of experience: December 05, 2017"
Cranbrook Hotel,Cheap and cheerful hotel near the centre of Ilford. Ideal for the station with connections to Stratford and Liverpool Street. Not sure why needed photo ID (did not see this need on the website) as I stay in a lot of hotels and this is the only one to request. Took a £50 suspended payment from my credit card for security! Again this is unique in my experience but was never actually applied and not really a problem.,"Date of experience: December 05, 2017"
Adequate for brief stay near Trinidad,"Firstly, you must realise that standards in Cuba are completely different to anything you are probably used to. That being said, this Hotel was more than adequate for our needs. The Hotel is right on the seafront with breathtaking views over the Caribbean Sea. The beach was beautiful and easily accessible from the hotel.It rates itself as a 3 star all inclusive and it both looks and feels that way. The reception team were always helpful and friendly. It has a very large Swimming Pool, several food outlets, 3 Pool and 2 table tennis tables. The food was adequate, although could become boring if you stay here for a prolonged period. The rooms were a decent size with a large bathroom and shower space. Whilst I stayed (2 nights) The hot water in the shower was not working but in all fairness I did not complain. Upon checkout I inforned them of this and they seemed eager to attend to the problem before allowing future guests into the room. The air conditioning in the room was old fashioned and slightly noisy but more than served a purpose.The hotel is around a 20 minute drive from the centre of Trinidad and costs around 8cuc each way. The majority of Taxi Drivers will set an asking price of 10cuc, but you should haggle. 8cuc is the lowest I managed to get them down to and given the journey distance, this price is more than reasonable. The alternative is a Bus that runs between the hotel and Trinidad Town 4 times a day. When I was there the bus did not turn up and is unreliable according to hotel staff. It is important to know that the bus is not run by the hotel. I needed a room by the beach near Trinidad to spend two nights and Hotel Ancon was more than adequate for that.","Date of experience: December 05, 2017"
It is a great hotel very central,"It is a great  basic hotel very clean, helpful friendly staff. Fantastic location very easy to get around .","Date of experience: December 05, 2017"
"Great service, and great prices, absolutely no problem with Gala Hotels!","I have booked with Gala Hotels for several years and have always been satisfied with their service.  Their hotel rates are very competitive, and often I have found low rates for 5* Hotels.  The latest booking I made was in Istanbul at the Pera Grand Hotel Jumeirah and was more than satisfied.Thank you Gala Hotels!","Date of experience: December 04, 2017"
no problems,no problems - despite initial worries because Gala's rate was lower than anyone else,"Date of experience: December 04, 2017"
Not a very good bed and breakfast place …,"Not a very good bed and breakfast place .. dirty carpets , unfriendly staff noisy place to stay over the weekend..could not sleep due to noise on Saturday night","Date of experience: December 04, 2017"
Good value accomodation,"Good location , comfortable room and reasonable price","Date of experience: December 04, 2017"
Great site,very easy site to navigate and great value for money,"Date of experience: December 04, 2017"
Very reasonable,Very reasonable Excellent website,"Date of experience: December 04, 2017"
We booked Seymour Hotel,"We booked Seymour Hotel, but on our arrival they send us to Berkeley court hotel (three doors down - Sussex Gardens nº 94)Shameless hotel, we stade in a room on the top floor (attic) with basic condiciones, nothing that we expected by seeing the photos of Seymour in your website.In my point of view, you shouldn't work with them no more, for your own good. You are tricking your customers because no where in your website is the information that when booking Seymour we may be accommodated in another hotel of that group.This said, naturally, I'll file a complaint with the competent authorities against that hotel.","Date of experience: December 04, 2017"
Friendly staff but security needs to be …,Friendly staff but security needs to be increased.Front and rear doors open to anyone all night!!!!!!Simply install access control to swipe your room card or buzz reception to enter.,"Date of experience: December 04, 2017"
No proolems :),No body text,"Date of experience: December 04, 2017"
Totaly Disappointed,"I went to the hotel booked, but found that the hotel was Closed. A workman at the door sent me bach Home ! Holiday bye bye. I filed a complaint with Galahotels, which are still pending ,  at least to refound my pre payment paid","Date of experience: December 04, 2017"
Excellent experience,No body text,"Date of experience: December 04, 2017"
Lovely friendly staff,"Lovely friendly staff, rooms were lovely will definitely be back again","Date of experience: December 04, 2017"
Surely not a four stars hotel,"Surely not a four stars hotel: besides the fact the heating broke down on the night of our stay, leaving us to chill in a winter night, the windows, the toilets, the carpets really need refurbishing. Conveniently located close to the station, I would not recommend if looking for luxury, the 4* are just a memory of old times.","Date of experience: December 04, 2017"
A weekend getaway to Vienna,"It was a weekend getaway by myself in cold December.  Beautiful city, warm people.  The hotel is nicely situated walking distant from trains, trams and City Center.  My room, very clean and spacious and breakfast was simple but very nice and the staff were pleasant and friendly.I would truly come back.  Thank you","Date of experience: December 04, 2017"
"In terms of value for money, the best hotel I have stayed in.","Quite simply the best hotel I have stayed in for the money paid. Room was clean and spacious with a massive bed. Evening meal was excellent. I actually just ate in the lounge an had a burger - but it was clearly homemade and really good. Sat by the open fire - felt very relaxed. The staff are excellent, from my welcome as I arrived (and letting me check in early) to the nice chap who spent 20 minutes trying to find me a laptop adapter as I had left mine at the office. Only negatives - the gym is good and well equipped but the spa is a little tired. Steam room wasn't working while I was there - but there was a sign up saying the area was being refurbished so it may well have improved the next time I visit. Also, given how good my evening meal was, the breakfast wasn't great, not bad, but maybe I had lofty expectations based on what I had eaten the evening before. Either way I don't see how I can take a star away as it was such good value. If it had cost more I then maybe it would be 4 stars. Regardless, I will certainly visit again, and recommend that if you are looking to stay near Chester, Mollington is the place to go.","Date of experience: December 04, 2017"
Good service,Good service. No problem.,"Date of experience: December 04, 2017"
Drinks are expensive,No body text,"Date of experience: December 04, 2017"
Money is taken from your account but no …,Money is taken from your account but no room booked.  It tooks me one week to get fixed,"Date of experience: December 04, 2017"
we did not receive a confirmation i …,"we did not receive a confirmation i spent a day tyring to phone and i emailed .Got a garbbled answer which meant nothing from a foreign guy.Ended up calling all five star hotels in amsterdam till we found the one we had booked in , we will never use them again","Date of experience: December 04, 2017"
Hotel just fine,Hotel just fine clean sand well appointed with great helpful staff.only problem was lift not working so had to haul suitcase up 3 flights l of stairs all guests had to use fire escape stairs so doors banging all night v little sleep!,"Date of experience: December 03, 2017"
We book 3 rooms,"We book 3 rooms. Two of the rooms were very poor. He price is not competitive with the quality of the offer. In the suite that I was given, did not have body cream.The breakfast was ok.During the  dinner, the delivery was very slow and waters made some delivery mistakes. The service was very gentle.We payed a room rate of 189 eu trough an agency, which we understand very high. Our customer extended our stay two more nights and the price given by the hotel and quality of the rooms were ok.","Date of experience: December 03, 2017"
Everything went fine.,No body text,"Date of experience: December 03, 2017"
Food,"Food is not appropriate for this kind of a hotel, should be more vegegatarian and vegan food be available.","Date of experience: December 03, 2017"
There was no booking at the hotel,"There was no booking at the hotel, made by GalaHotels.com, at all. Not under my name nor under de booking reference.","Date of experience: December 03, 2017"
Very bad service and suport,"I book a hotel in Rome whit Gala Hotels. When I arrived the reservation was for another hotel (whit cheaper rooms). I send a complain to Gala Hotels. Five days after, I am back home, and still have no answer to my complain from Gala Hotels. Very bad service and suport. Gala Hotels never more!","Date of experience: December 03, 2017"
bad service by gala,"the hotel was excellent, nothing to complain of.the booking process  was ok at first.  I was very annoyed about not getting a booking confirmation even after emailing Gala.  So I had to call the hotel to get the booking confirmed- what a hassle. I did not even get a bill which I really need for tax purposes.Wyndham Hotel again -yes...Gala .. not sure about it","Date of experience: December 03, 2017"
Whorst company I’ve ever cooperate …,"Whorst company I’ve ever cooperate with... They have sent me an „invoice” which is not an invoice according to EU law. There is no data of the dealer (eg. address, tax id etc.) on it. Ofcourse some guy in customer service sad that there is nothing they can do about it 😂Seriously, never ever again...","Date of experience: December 03, 2017"
cheapest rate and I was offered a free …,cheapest rate and I was offered a free transfer from airport to hotel and was very punctual and great service,"Date of experience: December 03, 2017"
Professional team!,No body text,"Date of experience: December 02, 2017"
no problems,"no problems, very prompy whrn I made a mmistake with booking","Date of experience: December 02, 2017"
Very good value and a warm welcome,"Stayed here many times and never disappointed,great value.lovely welcome immaculate room,highly recommend","Date of experience: December 02, 2017"
It's been 2 months since booking and no refund yet,"On September 18th,  I booked a room for a hotel in Amsterdam for 5 nights, from Nov. 22--27, for  the Thanksgiving holiday. My plans changed and on October 25th, I cancelled the trip online. I tried to call to ask about the refund, but no one answered the phone. I emailed twice, the second time on November 9th.  I was being given two case numbers and told that I would get the refund, but when? The case number given on Nov. 9th specifies that :""The refund will be processed in 21 business days from the cancellation date"". Today it's December 1st and I didn't get  the money yet.","Date of experience: December 02, 2017"
Fast and smoth,Always good prices. Fast and smooth transaction.Good service and communication,"Date of experience: December 01, 2017"
Easy to use website,"Easy to use website, no problem with the booking of the hotel, only issues were when we arrived and didn’t get what we booked.","Date of experience: December 01, 2017"
Perfect location,"Perfect location, well furnhised and clean with reasonable rates.","Date of experience: December 01, 2017"
price quoted was £169,"price quoted was £169on confirmation page price was £189on confirmation email it was £198tried to contact the galahotels, only email option, and despite several emails, no response to ythe climbing price and no option to cancel the bookinga very poor experience, which I have since found out several friends have suffered too ... awful customer service ... avoid!!!","Date of experience: December 01, 2017"
Great value for money,"Great location, friendly staff, rooms very comfortable, parking a little restricted.","Date of experience: November 30, 2017"
"Hotel Ambassador (Berne, Switzerland)","Very friendly staff, nice room, delicious breakfast. Very nice detail is that you get a free ticket for all public transport in the city during your stay.","Date of experience: November 30, 2017"
November 2017,Very attentive staff and service,"Date of experience: November 30, 2017"
Everything fine but there was something …,Everything fine but there was something wrong to the heating system,"Date of experience: November 30, 2017"
I booked this hotel (through Expedia) …,"I booked this hotel (through Expedia) because it was listed as a Best Westeren.  Got there to find out that was no longer true.  Hotel was locked when I arrived, had to bang on doors to get attention.Room was very small, but clean and adequate.","Date of experience: November 30, 2017"
I would and have recommended Gala …,I would and have recommended Gala Hotels. The prices beat most sites by a long way. The hotel expects me and I haven't even been asked for the voucher (take it anyway). I am really pleased I found their web site by chance.,"Date of experience: November 30, 2017"
paid for a reservation that i did not receive,"Hello ,i Have made a booking through Gala hotels, appalling service booked a weekend break away to Edinburgh, arrived at the hotel after a 10 hour drive from London to discover no reservation was in place and the hotel had no history of our booking, this left us with no where to stay, i tried numerous times to phone Gala directly and kept going straight to voicemail (extension is busy) i had to pay an extra 250.00 over the original price to stay at a sister hotel, as the hotel we were meant to be staying at was fully booked, i finally got through to a lady the following day which said there was an error and that the money i paid would be refunded to me, (WITH NO APOLOGY) still no refund has be received , i have informed my bank directly and they will be helping me to retrieve my money back,  this whole experience ruined our 2 day trip away , i just want the money back i paid , for the service i didn't receive (an actual reservation, i hope for a quick response and the money to be refunded back to with immediate effect","Date of experience: November 29, 2017"
Buisness stay,No body text,"Date of experience: November 29, 2017"
Excellently run hotel,Excellently run hotel.  Everything seems to work.Lovely breakfast.Hot bath.Great spa and spotless clean sauna and steam. Near to genting  arena and great for a show stop over.,"Date of experience: November 29, 2017"
"It is fine for B&B level, but avoid it if you are looking for luxory","I was very disappointed with my stay at Theoxenia Palace hotel. it felt more like a B&B then a 5* experience, they claimed they had. Additional charges started popping upCouldn't easily pass the bed, it was a squeeze.Bath was tiny, shower was not clean and was left in the bath. Complementary toiletries were minimal.Breakfast had a very small selection of options, like a B&B, no hot options from the kitchen. Had a very run down feeling, desperate need of a modern overhaul.If you want to pay 5* price for a B&B then this is your place, but otherwise...? Just avoid it.","Date of experience: November 29, 2017"
Good quality price,"The room was clean and breakfast was good, personnel was helpful.","Date of experience: November 29, 2017"
Christmas shopping trip,We stayed in Brighton for one night while Christmas shopping. Very convenient next to railway station.  All staff helpful. Room clean and comfortable. Would stay here again without any hesitation.,"Date of experience: November 28, 2017"
The most horrible booking company one can think of…,"The most horrible booking company one can think of...Been sending many emails, no response. Left negative feedback on this site, and immediately after that, they finally sent an email that the case was closed and that they were to reimburse me within 21 working days. This is months ago...Have a look at other reviews, all they can write is Have a lovely day... As if this resolves all issues. It's a laugh!Update 1 December: See what I mean? Have a lovely day..... as if!","Date of experience: November 28, 2017"
Very tired hotel,Very tired hotel. No lift. Lots of stairs .No good if you have problems walking.Breakfast very nice proMt service.Beds clean rooms clean. P. Walker,"Date of experience: November 28, 2017"
Unauthorised payment,We didn't stay in the Salles hotel Malaga as the booking was never confirmed only reserved by myself.Yet the Gala  hotels group debited the money from my account,"Date of experience: November 28, 2017"
Lovely place to stay and quiet,Lovely place to stay and quiet. Well located from the baggage area. Easy to walk to.,"Date of experience: November 27, 2017"
really enjoyed the stay all of the …,really enjoyed the stay all of the staff top notch and good atmosphere in the bar.,"Date of experience: November 27, 2017"
I BOOKED A HOTEL IN MILAN THROUGH THIS …,I BOOKED A HOTEL IN MILAN THROUGH THIS COMPANY AND WHEN I ARRIVED THERE WAS NO HOTEL BOOKING. I WAS TOLD THEY WOULD NEVER SELL AT RATE I BOOKED.MY HOTEL BOOKING SAID CONFIRMED ON THEIR SITE. ONCE I CONTACTED THIS COMPANY THEY SAID THEY HAD EMAILED ME BUT BECAUSE IT WAS NOT DONE THROUGH THE SAME NAME HAD GONE INTO MY SPAM FOLDER. I ONLY FOUND AFTER I HAD COME HOME.ABSOLUTELY RIDICULOUS WHY THEY HAD NOT ALERTED ME THROUGH ACCOUNT I HAD SET UP THROUGH GALA HOTELS.THEN AND ONLY THEN WOULD I HAVE BEEN ALERTED. WE WASTED VALUABLE TIME HAVING TO FIND ALTERNATIVE HOTEL WHILST WE WERE IN MILAN. HAS WE WERE TWO WOMAN TRAVELLING WE FELT QUITE VUNERABLE AS NEITHER HAD EVER BEEN TO MILAN BEFORE AND WE ONLY GOT THERE EARLY EVENING.I WOULD STRONGLY RECOMMEND YOU LOOK ELSEWHERE FOR RELIABLE HOTEL PROVIDER. THEIR CUSTOMER CARE IS DIRE. I WOULD NOT USE THEM EVER AGAIN.,"Date of experience: November 27, 2017"
A pleasurable experience.,"I cannot fault our stay at the Islington Hilton, from the moment we checked in to the moment we checked out it was a pleasurable experience and the breakfast was excellent !","Date of experience: November 27, 2017"
Easy to deal with,I found booking a room very easy and straight forward.  Information on the hotel was comprehensive and accurate,"Date of experience: November 27, 2017"
They Ripped me off,"They Ripped me off. Hotel did not have the reservation they ""set up"". When I called and emailed them they never got back to me. I was still charged by them.Now they respond on here saving their selves From a bad reputation. But not to my emails . Or refunding me.","Date of experience: November 27, 2017"
Hotel was in a brilliant location …,Hotel was in a brilliant location however when we arrived our friends had been upgraded but not us and our Room was very small and very dated and the window above the bed had a cold draught coming though so didn't get a good night's sleep. Would stay again but defenitly pay for an upgraded room. Breakfast was really good.,"Date of experience: November 27, 2017"
A very good hotel,"A very good hotel, staff very efficent & friendly, a total rip off having to pay €10 to have car parked at hotel and that's with a validated ticket even when hotel resident wined and dined at hotel. The hotel should give free parking to their residents.","Date of experience: November 27, 2017"
Great stay,"Great stay, friendly staff!","Date of experience: November 27, 2017"
Could not close window tightly and we …,Could not close window tightly and we suffered a draft. Maintenance knew about it. So the manager should not hire our room 155 without . fixing the problem. Every time we go to London we go to your hotel. Doubting about next time. One day room was not made up when we came back at 3 pm for a nap as my wife was not feeling well,"Date of experience: November 27, 2017"
Lovely hotel,"Lovely hotel,  very clean and comfortable. The staff were very helpful and friendly. We chose this hotel because it was close to the airport and also a chuttle bus was provided at a small charge.  We have stayed here before and will certainly be back","Date of experience: November 27, 2017"
good position,"good position, comfort end clean room.Very nice staff, I will definitely be back","Date of experience: November 27, 2017"
all worked smoothly,No body text,"Date of experience: November 27, 2017"
Very easy booking process and …,Very easy booking process and competitive prices,"Date of experience: November 26, 2017"
",We really enjoy staying at the Cobham …",",We really enjoy staying at the Cobham hotel.The reception staff are friendly and helpful, the grounds are fabulous with a lake and country walks.Coming from Bromley Kent area it makes a great break on the way to Heathrow, the West or Wales or Portsmouth and that area. We have now stayed several times and will do so again.","Date of experience: November 26, 2017"
Terrible!!!!,"When we arrived at the hotel, on the reception they told us there was no payment or even booking from the Galahotels!!!!!!! We had to pay again!!! The hotel and we tried to contact Gala hotels by writing emails, calling on all the possible phone numbers, but nobody answered!!!!!","Date of experience: November 26, 2017"
I would rate this hotel as 3 star not 4 …,"I would rate this hotel as 3 star not 4 star. The rooms are quite basic, we had cracked tiles in the bathroom and the wardrobe doors didn't close properly. Every time the toilet was flushed there was a squealing noise from the system. The best part by a mile about this hotel is definitely the breakfast.","Date of experience: November 26, 2017"
Didn't get any confirmation emails,No body text,"Date of experience: November 26, 2017"
The Victoria Hotel in Basle is very …,The Victoria Hotel in Basle is very conveniently located.  The whole staff is extremely friendly and competent.Our convention was very well prepared and therefore effective.Thank you for your support.,"Date of experience: November 26, 2017"
Average hotel.,Welcoming staff but check in/ out a mess. Room dated cold showers and tv poor reception. Overall a below average hotel but staff pleasant and concierge very helpful.,"Date of experience: November 26, 2017"
First time I used GalaHotels and I …,"First time I used GalaHotels and I would use them again.  Easy on line booking.  The transportation they guaranteed from the airport at which we arrived to the hotel was excellent and without delay.  I found Gala receptive to my email queries, efficient in processing and committed to their promises.","Date of experience: November 26, 2017"
Fast convience great place and web site,No body text,"Date of experience: November 26, 2017"
Good hotel central location,Stayed here 2 or 3 times all good.  Staff very helpful and friendly.   Room had all needed.   Great buffet breakfast. Will return.,"Date of experience: November 25, 2017"
Easy to book and value for money!,No body text,"Date of experience: November 25, 2017"
VERY SATISFIED ABOUT BOOKING BY GALA …,VERY SATISFIED ABOUT BOOKING BY GALA HOTELS- USUALLY I RESERVE WITH YOU.,"Date of experience: November 25, 2017"
Mixed Experience,Cancelled my hotel at 515 pm by email. Never picked up message and was leaving next morning. I thought that was poor service but at least offered a relocation. That was actually ok and new hotel was fine but its annoying to be cancelled at last minute when you know reason is hotel is trying to make more money. I dont blame Gala but they need to sort out hotel perhaps..,"Date of experience: November 25, 2017"
Very good for such low price,Very good for such low price. But the beds were too hard!,"Date of experience: November 25, 2017"
Good to book hotels in Bangkok,No body text,"Date of experience: November 25, 2017"
All perfect,"All perfect. Perfect location, tidy an cozy rooms all needs, good breakfast,  nice and polite staff.","Date of experience: November 24, 2017"
Best price,Best price! Easy to book.,"Date of experience: November 24, 2017"
first time booked through galahotels.com,first time booked through gala hotels.com & wont be last. waited a few days to give our reservation time to reach alexander hotel before I phoned them so they could confirm my booking as other review's had recommended & they did so everything was fine & so was our stay.  price was very good & so was our buffet breakfast that was included in price. this hotel is only hotel we have ever been to that has a free safe which is great.,"Date of experience: November 24, 2017"
I booked a hotel with Gala Hotels on …To-day my refund of £591 was paid back into my account.Thank-you Gala Hotels but why did it take so long.,I booked a hotel with Gala Hotels on 19/10/2017 and had to cancel due to work commitments on the 21/10/2017.Booking  reservation was ID 20396071.I paid £591 which included free cancellation.After several e-mails I have still not been refunded MY MONEY.If I am not refunded my £591 within the next 5 working days I will have to seek legal advice.Please think carefully before booking with Gala Hotels because of my situation..........£591 that I cannot afford to lose.I hope to update this review with better news very soon.,"Date of experience: November 24, 2017"
You were useless,"You were useless. I accidentally booked the wrong date, tried to phone your customer service line for about 24 hours - no response, and eventually gave up and  emailed to ask if you would change it and got a standard letter saying that the day before was the last date for amendments. I believe this is against our customer rights. I have warned all my friends and family to beware your booking site","Date of experience: November 24, 2017"
City tax has to be paid searately at …,City tax has to be paid searately at the hotel. It is much more convenient to include city tax in the price,"Date of experience: November 24, 2017"
My sister has returned from Havana,"My sister has returned from Havana, with uncomplimentary things about your hotel.Not at all happy!","Date of experience: November 22, 2017"
Erskire Bridge Hotel,"Very nice Hotel.A good continental breakfastWith a good gim, spa and a swimming pool, good to relax.","Date of experience: November 22, 2017"
I was previously satisfied customer,"I booked several stays with GalaHotels in the past 3 years. To book a stay is easy and smooth, HOWEVER if you would like to change or cancel something or even the booked hotel is not available despite their confirmation, to get a refund is nearly impossible. We had a holiday on Mallorca from the 30th October 2017 for 4 nights with half board for 3 people. Here is my email which I sent to GH on the 13th of November:""During our call with Mr. Hakan back in October we agreed, that because GH was not able offer a suitable 2 BR accommodation in the La Pergola Aparthotel - Mallorca, he cancelled the Booking ID: 20076593He promised to me a refund of € 813.53 within 3 working days.In the meantime I called the hotline just a week before the requested holiday date asking the status of the refund. The operator mentioned to me the 21 business days policy, however the cancellation was not my fault!!!Now as the holiday is over, I had to organise the accommodation via an other online site - AGODA -  and I was happy to choose the La Pergola Aparthotel in Andratx. I had to find an other way to finance our stay there - had to break up our savings - and your refund has NOT landed on my account yet.PLEASE inform me WHEN will you refund the € 813.53!If I will not receive any positive communication from your side within 48 hours, I will have no other choice to choose the social media and inform other (potential) customers about my problem with GH - AGAIN.""I gave them 10 days again to refund the unlawful kept holiday money without any success.Last year, after I wrote the same kind of feedback, I received the refund within 5 days. I HOPE HERE the SAME RESULT.Despite their interesting loyalty program will I make a booking with GH again? No thanks!!!Today is the 22nd of November; If I will not get my € 813.53 refund back until the 1st December my lawyer will make the necessary steps in Turkey with his local connections.Best regards******************************UPDATE ON THE 27th NOVEMBER 2017Finally I received the refund from Galahotels.com, therefore to be fair I changed the rating to 3Star.If I will ever use their service, it is a different question....Best regards","Date of experience: November 22, 2017"
Horrible service!,"Horrible service!Booked a hotel in Denmark back in summer (credit card was charged immediately) and had to cancel it due to personal reasons. I was supposed to receive a full refund within 21 working days from the cancellation. Today is working day number 35 and I still didn't see a dime back. I contacted the customer service several times and always received the same, useless answer (Your request is being processed, bla bla bla).Unless I receive my money back shortly, I will make sure to include a lawyer into the matter. This is a fraud and completely unacceptable from the customers point of view!","Date of experience: November 22, 2017"
Good choice for reasonable price,Good choice for reasonable price. Excellent location and hotel has a parking space. Breakfast's assortment is limited. Rooms and bathrooms are ok. Only problems we met was regulation of warm in a room - it was necessary to invite a special person to the room who can switch on or switch off heating sistem.,"Date of experience: November 22, 2017"
"Never bookwith Galahotels, no refund when cancellation","After cancelling a reservation more than 1 month before arriving, you still did not refund the amount.","Date of experience: November 21, 2017"
Great location for Covent Garden area,Great location for Covent Garden and surrounding theatres. Cheaper rooms are a bit small but well equipped. A bit frustrating that a private function stopped residents using The Gin Palace.Overall would stay again.,"Date of experience: November 21, 2017"
It was dirty,"It was dirty. We had to change the room. The second room had a better view with the possibility to breath, but dirty too","Date of experience: November 21, 2017"
On line booking error!,"We booked a Deluxe Double Room with sea view. When we checked in the hotel said they only had a Standard Double room. I said my paper work clearly showed that we had the Deluxe room. The hotel said that Gala should not have sold this room as they only have Standard rooms allocated to their website. Complicated to explain, but the bottom line is, we did not get what we had booked!","Date of experience: November 21, 2017"
Perfect choice,"Clean rooms, clean sheets, well equipped, daily cleaning, very friendly and co-operative staff.","Date of experience: November 21, 2017"
Don't trust every Gala Hotels promises!,"While making a reservation in Amsterdam GalaHotels advertised a free transfer from the airport to the hotel included in the price. However, once booked and the payment done, the free transfer option disappeared.I contacted the support who advised me that the free transfer is only given if the dates are communicated 5 days before the reservation. However, it was clear that I was booking 3 days before the reservation begins and in my opinion, the free transfer ad should not even appear on my reservation if it contradicts to GH policy of 5 days. I explained this to the support agent who didn't give any follow up on my remarks (e.g. a free transfer from hotel to the airport could be offered as an alternative). The result is a feeling of a not fair treatment and foolish ad...fortunately, there are other providers of the booking services on the market ;-)","Date of experience: November 21, 2017"
They messed up my booking completely,They messed up my booking completely. Booked me in for the wrong days and under the wrong name. I mean how complicated is Michael Smith...?  I was having surgery the day of my first nights stay and they booked the hotel from the following night so I had a load of stress to deal with trying to get the extra night booked in myself whilst sitting in the hospital waiting for my surgery to start!! Nightmare!,"Date of experience: November 21, 2017"
Booked with them and wish i had read …,Booked with them and wish i had read the reviews on trip advisor! a Turkish company who take your booking then relocate you to another hotel. this is happening with most bookings BEWAREEdited!!! I have not had a refund...take our money without any bookings...then put us somewhere else ridiculous. DO NOT USE THIS SITE!! WHEN I CHECKED WITH ALL THE HOTELS I TRIED TO BOOK THEY DID NOT RECOGNISE THIS SITE!!! PLEASE PLEASE BEWARE. ALSO THE REVIEWS ON TRUST PILOT ARE FOR HOTELS BOOKED THROUGH GALA HOTELS !!! TOTALLY FALSE STAR RATING!!! I WANT MY MONEY BACK!!,"Date of experience: November 21, 2017"
Very kind staff and clean environment,"Very kind staff and clean environment, Good kitchen in the restaurant and we enjoyed the breakfasts.","Date of experience: November 21, 2017"
Wonderful Weekend,"Over all a wonderful experience, staff all very helpful and always happy. Not only to help, but in their every way they went about their work. Facilities were lovely, room was perfect and the view even better. The only negative comments would be the bed was little on the hard side but that's a personal preference and being two large singles pushed together made a ridge in the middle. The shower was a little cold on the first night and we mentioned to the reception who apologised and said the correct boiler hadn't been switched on. Was far better.  We didn't eat in the restaurant as we didn't find the fixed menu quite to our choice. The bar food menu was however first rate. Breakfast couldn't fault and the best way to start the day.","Date of experience: November 20, 2017"
Fabulous stay at La Mamounia,Brilliant company to deal with and found the best rate available for La Mamounia - Marrakech,"Date of experience: November 20, 2017"
online hassle free booking,"online hassle free booking, fast and simple check in , friendly, helpful .good value rooms with a decent breakfast selection","Date of experience: November 20, 2017"
No pool!!!,Old hotel.  Bathrooms not very clean.   Paid to much because water park was advertised but has been closed 5 years!!,"Date of experience: November 20, 2017"
Your company are impossible to contact …,"Your company are impossible to contact for any help needed. I fully regret using  you to book the hotel I stayed at. The customer service you provide is dreadful and I will be using trip advisor to inform people to avoid using your site. I will also be using other sites to vent my disappointment.You have the cheek to keep sending me emails about using the site to book hotels in future. No chance!24/11/17To be honest, that wasn't the reply I wanted. Its the same rubbish as all the replies to other disgruntled customers. How about telling me that you have a legitimate phone line and emailing service that your customers can use? Or that emails that you send out as conformation don't have a recall on them or an expiry date, like the one I had from you. Anybody reading this, please don't use this company for booking your hotel. Its not sour grapes, just read other review sites and see what they have to say about Gala hotels.  Regards,Mr Power.","Date of experience: November 20, 2017"
Cannot fault the hotel or the staff …,Cannot fault the hotel or the staff ...absolutely loved our stay.  Will definitely be back soon.5 stars as long far as we are concerned. Thanks to everyone at the st Giles hotel for making our stay such a lovely one.Karen & grace ingleby,"Date of experience: November 20, 2017"
They do not refund your money,"I cancelled the reservation I had (refundable rate). It has now been 7 weeks, and I have contacted the company 4 times, but still no refund. It is not acceptable to take this long. I will pursue this through my card company if they do not refund me this week, as I have the feeling that I will never receive my refund.","Date of experience: November 20, 2017"
5starrrr,"Clean, nice, good.","Date of experience: November 20, 2017"
I booked 2 rooms from Hôtel Barrière Le …,I booked 2 rooms from Hôtel Barrière Le Majestic in Cannes. It was lovely but my reservation is deluxe sea view room both of them they gave us superior room when we reached to the hotel. And rooms are not at the same floor also. They said sorry we are fully booked!,"Date of experience: November 20, 2017"
It was a pleasure!!,It was a pleasure!!! Everything was great and the hotel was so comfortable. With the payment i had no problems,"Date of experience: November 20, 2017"
Poor quality and poor service,Poor quality and poor service. Won't stay again.,"Date of experience: November 20, 2017"
No booking made so lost £269,There was no booking made at hotel & I had paid £269. I got no helpful response from Galahotels by phone or email & will be taking this to Trading standards. I have reported to Police.,"Date of experience: November 20, 2017"
Everything OK,Ecerything OK,"Date of experience: November 20, 2017"
Still waiting on a refund for weeks now,No body text,"Date of experience: November 20, 2017"
We had à very good time at  the hotel …,We had à very good time at  the hotel in Paris. It was ok.,"Date of experience: November 20, 2017"
I have tried to change the bokking a …,"I have tried to change the bokking a lot of time!!!!! We booked wrong and tried to change it with a lot of mail. It did not work, so now we have to pay for the hotel twice. Terrible customer care!!!!  Booking No. 20598976, EXP-937800 338-1 Daniel Kvitland, Witro Bil. info@ witro.no","Date of experience: November 20, 2017"
Hotel comfy central warm and breakfast …,Hotel comfy central warm and breakfast brilliant,"Date of experience: November 19, 2017"
Easy to use,"Easy to use, cheaper than other booking sites","Date of experience: November 19, 2017"
